id|name|city_id
1122|Tirtajaya|72
1123|Cibuaya|72
1124|Pakisjaya|72
1125|Batujaya|72
1126|Pedes|72
1127|Rengasdengklok|72
1128|Jayakerta|72
1129|Karawang Barat|72
1130|Cijambe|73
1131|Cibogo|73
1132|Tanjungsiang|73
1133|Kasomalang|73
1134|Cisalak|73
1135|Serangpanjang|73
1136|Sagalaherang|73
1137|Jalancagak|73
1138|Ciater|73
1139|Cipeundeuy|73
1140|Kalijati|73
1141|Dawuan|73
1142|Patokbeusi|73
1143|Pabuaran|73
1144|Purwadadi|73
1145|Blanakan|73
1146|Compreng|73
1147|Cipunagara|73
1148|Ciasem|73
1149|Sukasari|73
1150|Pusakajaya|73
1151|Pusakanagara|73
1152|Legonkulon|73
1153|Pamanukan|73
1154|Tambakdahan|73
1155|Cikaum|73
1156|Binong|73
1157|Pagaden Barat|73
1158|Pagaden|73
1159|Subang|73
1160|Cibatu|74
1161|Campaka|74
1162|Bungursari|74
1163|Kiarapedes|74
1164|Wanayasa|74
1165|Pasawahan|74
1166|Sukatani|74
1167|Maniis|74
1168|Tegal Waru|74
1169|Bojong|74
1170|Darangdan|74
1171|Plered|74
1172|Jatiluhur|74
1173|Babakancikao|74
1174|Purwakarta|74
1175|Sukasari|74
1176|Pondoksalam|74
1177|Ciwidey|75
1178|Ranca Bali|75
1179|Pasirjambu|75
1180|Katapang|75
1181|Soreang|75
1182|Kutawaringin|75
1183|Cileunyi|75
1184|Ujung Berung|478
1185|Cilengkrang|75
1186|Cibiru|478
1187|Panyileukan|478
1188|Rongga|76
1189|Gununghalu|76
1190|Cipongkor|76
1191|Sindangkerta|76
1192|Cihampelas|76
1193|Cililin|76
1194|Batujajar|76
1195|Saguling|76
1196|Parongpong|76
1197|Cipeundeuy|76
1198|Cikalong Wetan|76
1199|Cipatat|76
1200|Padalarang|76
1201|Ngamprah|76
1202|Cisarua|76
1203|Cimahi Selatan|77
1204|Cimahi Tengah|77
1205|Cimahi Utara|77
1206|Cikancung|75
1207|Cicalengka|75
1208|Rancaekek|75
1209|Lembang|76
1210|Kertasari|75
1211|Pacet|75
1212|Ibun|75
1213|Paseh|75
1214|Majalaya|75
1215|Ciparay|75
1216|Arjasari|75
1217|Pangalengan|75
1218|Banjaran|75
1219|Solokan Jeruk|75
1220|Pameungpeuk|75
1221|Baleendah|75
1222|Cimaung|75
1223|Cinambo|478
1224|Rancasari|478
1225|Gedebage|478
1226|Arcamanik|478
1227|Antapani|478
1228|Bojongsoang|75
1229|Bandung Kidul|478
1230|Buahbatu (Margacinta)|478
1231|Kiaracondong|478
1232|Batununggal|478
1233|Dayeuhkolot|75
1234|Lengkong|478
1235|Regol|478
1236|Astana Anyar|478
1237|Bojongloa Kidul|478
1238|Cangkuang|75
1239|Bojongloa Kaler|478
